year,month,res.price,res.sales.adj,com.price,com.sales.adj,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM,DT90,DX32,DT00,DT32,DP01,DP05,DP10,MDPT,VISIB,WDSP,MWSPD,GUST,HTDD,CLDD,LABOR,EMP,UNEMP,UNEMPRATE,PCINCOME,GSP
1990,1,7.68,9204.26,6.74,5629.84,1.37,0.00,3.59,0.00,84.81,43.40,77.29,58.11,67.69,0.00,0.00,0.00,0.00,5.00,2.40,1.53,52.28,7.86,6.68,12.50,19.12,223.42,29.99,6382604.00,6016520.00,366084.00,5.70,29590.85,418825.00
1990,2,7.84,6760.42,6.67,5779.63,1.39,0.00,2.71,0.00,85.94,44.18,79.00,57.52,68.26,0.00,0.00,0.00,0.13,3.80,1.73,0.67,54.79,8.24,8.44,14.57,21.21,122.38,49.82,6410600.00,6041547.00,369053.00,5.80,29590.85,418825.00
1990,3,7.79,6375.71,6.65,5727.16,1.57,0.00,3.22,0.00,90.08,45.69,80.97,59.70,70.34,1.07,0.00,0.00,0.00,4.53,2.27,0.73,54.84,8.64,7.88,13.75,20.51,96.97,49.27,6433214.00,6061089.00,372125.00,5.80,29590.85,418825.00
1990,4,7.90,6356.13,6.73,5835.49,1.45,0.00,3.66,0.00,94.41,58.59,87.31,68.04,77.67,9.60,0.00,0.00,0.00,5.07,2.20,1.13,56.63,8.36,7.62,13.54,19.99,51.11,83.56,6449388.00,6073585.00,375803.00,5.80,29590.85,418825.00
1990,5,7.83,7481.00,6.67,6393.53,1.89,0.00,6.10,0.00,96.49,63.55,90.94,71.83,81.36,20.40,0.00,0.00,0.00,7.27,4.20,2.27,64.32,8.31,7.44,13.20,19.75,3.64,254.15,6460750.00,6080536.00,380214.00,5.90,29590.85,418825.00
1990,6,7.71,9534.48,6.60,6922.67,1.96,0.00,6.54,0.00,97.36,68.95,91.52,73.42,82.47,22.80,0.00,0.00,0.00,9.60,4.27,1.67,68.09,8.01,5.67,12.32,20.10,0.00,344.62,6469062.00,6083392.00,385670.00,6.00,29590.85,418825.00
1990,7,7.70,10304.87,6.59,7044.78,1.65,0.00,5.67,0.00,97.00,68.58,92.46,73.33,82.90,26.40,0.00,0.00,0.00,9.33,3.60,1.53,70.09,8.29,5.91,12.81,21.40,0.00,381.77,6477033.00,6084167.00,392866.00,6.10,29590.85,418825.00
1990,8,7.70,10824.75,6.57,7253.45,1.52,0.00,4.29,0.00,95.67,61.18,90.45,71.46,80.96,19.13,0.00,0.00,0.00,6.53,2.73,1.20,70.43,7.61,4.76,11.86,20.41,0.00,389.41,6485459.00,6083808.00,401651.00,6.20,29590.85,418825.00
1990,9,7.69,10527.10,6.61,7037.86,1.77,0.00,4.51,0.00,91.96,46.95,85.11,66.48,75.81,5.93,0.00,0.00,0.00,6.27,2.67,1.60,67.51,7.95,5.70,11.62,18.62,2.02,336.66,6492799.00,6081382.00,411417.00,6.30,29590.85,418825.00
1990,10,7.76,9707.97,6.65,6973.15,0.81,0.00,1.36,0.00,85.80,44.72,78.99,57.16,68.05,0.07,0.00,0.00,0.07,3.13,0.73,0.33,62.76,8.48,7.03,12.59,19.55,41.99,220.38,6497505.00,6075768.00,421737.00,6.50,29590.85,418825.00
1990,11,7.89,7593.31,6.71,6386.17,0.71,0.00,1.40,0.00,84.06,38.20,75.85,54.99,65.43,0.00,0.00,0.00,1.27,3.47,0.73,0.20,55.79,8.67,6.70,12.07,18.38,105.94,60.23,6500099.00,6068300.00,431799.00,6.60,29590.85,418825.00
1990,12,7.96,6913.65,6.82,5926.30,2.48,0.00,7.80,0.00,84.03,38.41,72.73,55.40,64.09,0.00,0.00,0.00,1.20,8.07,4.07,2.60,54.77,8.24,6.66,11.82,18.79,192.46,40.24,6501640.00,6060234.00,441406.00,6.80,29590.85,418825.00
